bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
89,2,ema,55,3,1361,67.37692872887582,0.42661458020061555,580.6224436530377
89,2,ema,55,4,5498,68.04292469989088,0.1927353732197391,1059.6590819621256
89,2,vidya,14,2,1670,67.72455089820359,0.5837180072590791,974.8090721226621
89,2,vidya,14,3,1222,65.54828150572831,0.6840894180911627,835.9572689074009
89,2,vidya,14,4,2656,67.46987951807229,0.37339802129381516,991.745144556373
89,2,vidya,21,2,2100,66.9047619047619,0.3720794664428798,781.3668795300476
89,2,vidya,21,3,3863,68.4183277245664,0.18243853286414882,704.7600524542069
89,2,vidya,21,4,4162,68.78904372897645,0.226237918706198,941.6022176551961
89,2,vidya,34,2,4053,67.90032075006168,0.22399823562219734,907.8648489767659
89,2,vidya,34,3,3404,68.86016451233843,0.31912469856488707,1086.3004739148755
89,2,vidya,34,4,2930,68.12286689419795,0.27967181581671824,819.4384203429845
89,2,vidya,55,2,2557,67.65741102854909,0.3132779077835966,801.0516102026564
89,2,vidya,55,3,2137,67.43097800655124,0.3378390245318585,721.9619954245816
89,2,vidya,55,4,1839,66.34040239260469,0.22767662674640973,418.6973165866475
89,3,ema,14,2,7372,66.61692892023873,0.1823583556334129,1344.34579772952
89,3,ema,14,3,4320,67.36111111111111,0.2889202320053106,1248.1354022629416
89,3,ema,14,4,2663,69.99624483665039,0.4670169378654588,1243.6661055357167
89,3,ema,21,2,5444,67.32182218956649,0.23546101892599436,1281.8497870331132
89,3,ema,21,3,3256,68.24324324324324,0.3337280088476464,1086.6183968079367
89,3,ema,21,4,1895,69.23482849604221,0.2776439004747769,526.1351913997022
89,3,ema,34,2,3601,68.28658705915024,0.35219989276674785,1268.271813853059
89,3,ema,34,3,2022,70.12858555885262,0.43797249242309433,885.5803796794968
89,3,ema,34,4,1078,70.77922077922078,0.3428603337656495,369.60343979937016
89,3,ema,55,2,2004,69.26147704590818,0.42571012745163433,853.1230954130752
89,3,ema,55,3,947,71.80570221752905,0.3055404073967075,289.34676580468204
89,3,ema,55,4,609,71.42857142857143,0.30490790029736187,185.68891128109337
89,3,vidya,14,2,2376,69.94949494949495,0.4534945920684301,1077.50315075459
89,3,vidya,14,3,1177,70.51826677994903,0.55983041680936,658.9204005846167
89,3,vidya,14,4,897,71.7948717948718,0.5380019203714312,482.5877225731738
89,3,vidya,21,2,944,69.38559322033898,0.3248760801625092,306.6830196734087
89,3,vidya,21,3,1764,69.89795918367348,0.44693324458543426,788.3902434487061
