t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1674631800000,1,25.192550063016395,1516,13,3700,1516,1.3098174444543378,True
1674865800000,1,28.83700821444013,1256,11,3700,1256,0.9574842164678068,True
1675002600000,1,33.35322195704058,1104,9,3700,1104,0.7811177471679391,True
1675142100000,1,29.565217391304355,949,7,3700,949,1.0332153201421908,True
1675284300000,1,12.722229227083591,791,5,3700,791,2.0185222342009626,True
1675701900000,1,-2.752093984553461,327,3,3700,327,1.423548478687503,False
1675952100000,1,-17.344674556213015,49,1,3700,49,2.182080601821185,False
1677223800000,-1,-4.386741418314144,390,3,914,390,0.827295019020362,False
1677495600000,-1,-12.010554089709746,88,1,914,88,0.6409232627356996,False
1677927600000,-1,-7.166156982670735,99,1,290,99,0.802764719599992,False
1678155300000,1,-13.219635444865553,178,3,332,178,1.0157996031000542,False
1678241700000,1,-14.156922252967963,82,1,332,82,1.340942725774179,False
1679022900000,1,0.4463586530931929,395,1,784,395,1.7692985621732369,True
1679536800000,-1,1.4708412179597508,602,3,778,602,1.781591847514385,True
1679903100000,-1,-7.994720467615735,195,1,778,195,0.8746671068180022,False
1680309000000,1,-6.691974927165189,157,1,413,157,0.5960226198685713,False
1681025400000,-1,-6.545202495296576,168,1,361,168,0.4752688799724467,False
1681307100000,1,-0.07187135028298153,527,1,672,527,1.1031200492093638,False
1681891200000,-1,3.731203007518802,697,5,819,697,1.6109379639791053,True
1682273700000,-1,-9.014474244359306,272,3,819,272,0.8072383386016162,False
1682408700000,-1,-9.25866666666666,122,1,819,122,0.565323944309121,False
1682601300000,1,-2.1897810218978075,336,1,428,336,1.2713707934486813,False
1683224100000,-1,12.92796798577145,1277,5,1633,1277,0.508744555775315,True
1683781200000,-1,-4.176087245644355,658,3,1633,658,0.66478044362717,False
1684217700000,-1,-4.2454085706680855,173,1,1633,173,0.47911975642989924,False
1685211300000,-1,-5.665566556655666,110,1,393,110,0.42994535765088004,False
1685871000000,1,-11.19883396088911,134,1,317,134,0.6880430991373185,False
1686131100000,-1,10.247103169063243,959,7,1114,959,0.724757790568985,True
1686364200000,-1,7.6823664560597305,700,5,1114,700,1.0720468435897856,True
1686694500000,-1,-4.502600780234078,333,3,1114,333,0.4748616743922868,False
1686923100000,-1,-7.778709136630346,79,1,1114,79,0.569866310208788,False
1687288500000,1,10.177404295051362,808,5,1135,808,0.7631250494947598,True
1687666500000,1,-5.963607384778857,388,3,1135,388,0.6374073877630557,False
1687786200000,1,-5.826017557861141,255,1,1135,255,0.8547295590301414,False
1689192000000,-1,-8.223972003499558,87,1,760,87,0.5380577441199592,False
1689414300000,1,-4.749443935627373,322,1,482,322,0.6676905055492639,False
1690090200000,1,-6.210526315789478,123,1,260,123,0.4306257550919463,False
1690678800000,1,-3.881366860090263,497,3,682,497,0.7508581146675648,False
1690854300000,1,-2.472850974748142,302,1,682,302,0.6326999737035547,False
1691423100000,-1,16.865815135283626,1600,7,1930,1600,0.5919727836419053,True
1691614800000,-1,15.731588472782976,1387,5,1930,1387,0.3876844074674158,True
1692126900000,-1,6.8482610033856695,818,3,1930,818,1.6308968269326576,True
