iter,ret,mdd
604,255.63,3.67
605,255.69,5.72
606,255.7,4.47
607,255.77,3.77
608,255.78,4.27
609,255.82,5.75
610,255.88,4.04
611,255.92,4.82
612,255.93,5.72
613,255.93,6.43
614,255.96,4.14
615,255.97,4
616,256,4.21
617,256.03,6.63
618,256.07,4.92
619,256.09,4.48
620,256.1,6.13
621,256.13,4.91
622,256.15,5.35
623,256.22,3.93
624,256.23,7.72
625,256.23,3.88
626,256.27,3.52
627,256.28,3.57
628,256.29,4.4
629,256.31,3.5
630,256.32,6.25
631,256.39,4.71
632,256.41,6.39
633,256.56,5.63
634,256.59,3.65
635,256.63,4.32
636,256.65,4.59
637,256.66,6.01
638,256.68,5.06
639,256.85,3.29
640,256.85,6.9
641,256.85,4.75
642,256.99,4.25
643,257.01,4.58
644,257.03,5.4
645,257.03,3.64
646,257.15,5.16
647,257.18,5.12
648,257.27,3.71
649,257.27,4.38
650,257.35,6.31
651,257.35,4.21
652,257.35,4.27
653,257.44,5.03
654,257.56,6.36
655,257.59,3.8
656,257.61,5.72
657,257.67,5.74
658,257.69,5.05
659,257.73,4.05
660,257.75,4.46
661,257.77,4.55
662,257.86,5.24
663,257.89,6.71
664,257.9,3.98
665,257.9,4.43
666,257.94,4.95
667,257.96,3.18
668,257.99,4.42
669,258.02,4.88
670,258.03,3.4
671,258.04,5.45
672,258.04,4.06
673,258.05,4.79
674,258.08,3.18
675,258.11,4.69
676,258.12,3.18
677,258.12,6.86
678,258.31,3.31
679,258.39,6.31
680,258.4,4.6
681,258.42,4.33
682,258.43,5.7
683,258.48,5.16
684,258.52,3.6
685,258.53,5.68
686,258.58,4.21
687,258.58,4.54
688,258.58,6.22
689,258.6,3.42
690,258.7,5.69
691,258.71,4.92
692,258.73,4.45
693,258.75,4.47
694,258.76,4.61
695,258.78,4.21
696,258.81,6.66
697,258.87,3.18
698,258.87,7.46
699,258.88,4.68
700,258.92,4.92
701,258.97,4.83
702,259.02,4.42
703,259.04,6.04
704,259.08,5.03
705,259.12,3.18
706,259.17,4.31
707,259.22,5.24
708,259.23,6.95
709,259.36,4.13
710,259.38,4.7
711,259.38,4.09
712,259.4,4.21
713,259.41,4.24
714,259.44,4.12
715,259.44,5.06
716,259.5,3.62
717,259.52,4.65
718,259.52,5.55
719,259.52,4.69
720,259.53,3.87
721,259.62,4.21
722,259.68,4.38
723,259.79,5.6
724,259.89,5.58
725,259.97,4.49
726,260,5.24
727,260.02,5.66
728,260.12,4.55
729,260.18,7.29
730,260.25,3.79
731,260.27,3.89
732,260.34,5.02
733,260.36,6.77
734,260.42,3.6
735,260.44,4.02
736,260.52,5.18
737,260.52,3.3
738,260.58,4.21
739,260.58,5.18
740,260.61,4.08
741,260.61,3.38
742,260.76,5.56
743,260.83,3.97
744,260.85,6.91
745,260.87,4.27
746,260.89,4.12
747,260.9,3.78
748,260.94,4.62
749,260.98,4.21
750,261.03,3.67
751,261.03,4.34
752,261.05,4.65
753,261.12,5.71
754,261.17,4.76
755,261.19,5.77
756,261.19,3.94
757,261.19,6.45
758,261.24,5.99
759,261.25,5.14
760,261.35,5.24
761,261.38,6.71
762,261.39,5.43
763,261.49,4.59
764,261.49,4.46
765,261.54,5.25
766,261.58,5.21
767,261.61,4.49
768,261.61,4.42
769,261.66,3.61
770,261.75,5.95
771,261.76,6.51
772,261.83,6.25
773,261.85,3.51
774,261.85,3.5
775,261.86,5.01
776,261.87,4.52
777,261.88,5.14
778,262.05,5.45
779,262.09,5.35
780,262.09,5.59
781,262.09,4.32
