symbol,state,tEntry
ETHUSDT,0,2026-06-25T13:30
SOLUSDT,1,2021-01-01T01:30
SOLUSDT,0,2021-02-19T07:15
SOLUSDT,2,2021-02-21T12:00
SOLUSDT,2,2021-02-22T17:45
SOLUSDT,2,2021-03-24T22:15
SOLUSDT,2,2021-04-11T15:30
SOLUSDT,0,2021-05-21T14:45
SOLUSDT,2,2021-07-23T23:30
SOLUSDT,2,2021-07-26T00:45
SOLUSDT,1,2021-08-20T17:00
SOLUSDT,2,2021-09-02T15:45
SOLUSDT,2,2021-12-23T18:15
SOLUSDT,0,2022-01-08T18:00
SOLUSDT,1,2022-01-19T07:45
SOLUSDT,1,2022-02-21T12:15
SOLUSDT,0,2022-03-18T16:30
SOLUSDT,1,2022-04-26T14:45
SOLUSDT,1,2022-04-28T14:15
SOLUSDT,2,2022-07-05T20:00
SOLUSDT,2,2022-07-19T00:00
SOLUSDT,0,2022-07-22T16:15
SOLUSDT,0,2022-07-30T13:45
SOLUSDT,2,2022-08-03T00:30
SOLUSDT,0,2022-08-12T20:00
SOLUSDT,0,2022-08-22T08:15
SOLUSDT,1,2022-10-25T14:30
SOLUSDT,0,2022-10-28T16:45
SOLUSDT,2,2023-01-08T08:45
SOLUSDT,0,2023-05-08T00:15
SOLUSDT,2,2023-05-24T03:30
SOLUSDT,1,2023-06-02T05:15
SOLUSDT,2,2023-06-19T18:00
SOLUSDT,2,2023-07-20T15:30
SOLUSDT,0,2023-08-14T16:15
SOLUSDT,2,2023-10-19T11:45
SOLUSDT,2,2023-10-23T22:45
SOLUSDT,2,2023-10-25T12:00
SOLUSDT,0,2023-10-26T23:15
SOLUSDT,0,2023-11-04T04:00
SOLUSDT,0,2023-11-06T23:45
SOLUSDT,0,2024-02-14T09:15
SOLUSDT,0,2024-02-28T09:45
SOLUSDT,0,2024-04-12T13:15
SOLUSDT,2,2024-04-19T02:15
SOLUSDT,0,2024-04-28T23:00
SOLUSDT,0,2024-08-08T03:15
SOLUSDT,0,2024-09-03T15:15
SOLUSDT,0,2024-11-15T21:45
SOLUSDT,1,2024-12-21T13:00
SOLUSDT,0,2025-01-01T21:15
SOLUSDT,1,2025-04-28T15:30
