symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,cycleAge,slowAge,cfLag,pullLag
XRPUSDT,1,2021-03-20 07:45,2021-03-20 11:00,0.4826,0.492252,TP,14,1.86,0.93,1,387,0,0
LTCUSDT,-1,2021-03-21 02:30,2021-03-21 09:30,197.9,193.942,TP,29,1.86,0.93,1,540,0,0
BTCUSDT,-1,2021-03-22 19:45,2021-03-22 20:45,55563.91,54452.6318,TP,5,1.86,0.93,1,137,0,0
ETHUSDT,-1,2021-03-24 19:15,2021-03-24 19:30,1658.32,1625.1536,TP,2,1.86,0.93,1,341,0,0
DOTUSDT,-1,2021-03-24 19:15,2021-03-24 20:15,33.88,33.2024,TP,5,1.86,0.93,1,315,0,0
LINKUSDT,-1,2021-03-24 19:30,2021-03-24 20:15,26.25,25.725,TP,4,1.86,0.93,1,329,0,0
AVAXUSDT,-1,2021-03-24 19:30,2021-03-24 20:15,27.8501,27.293098,TP,4,1.86,0.93,1,317,0,0
DOGEUSDT,-1,2021-03-24 19:45,2021-03-24 22:15,0.053514,0.052444,TP,11,1.86,0.93,1,198,0,0
BTCUSDT,-1,2021-03-24 20:15,2021-03-24 22:15,53777.8,52702.244,TP,9,1.86,0.93,1,331,0,0
LTCUSDT,-1,2021-03-24 20:15,2021-03-24 20:45,184.95,188.649,SL,3,-2.14,-1.07,1,899,0,0
BNBUSDT,-1,2021-03-24 20:45,2021-03-24 22:15,257.281,252.13538,TP,7,1.86,0.93,3,143,0,2
ADAUSDT,-1,2021-03-24 20:45,2021-03-24 22:15,1.11138,1.089152,TP,7,1.86,0.93,2,520,0,1
TRXUSDT,-1,2021-03-24 21:00,2021-03-24 22:15,0.05815,0.056987,TP,6,1.86,0.93,1,139,0,0
SOLUSDT,-1,2021-03-24 22:15,2021-03-25 00:00,13.83,13.5534,TP,8,1.86,0.93,2,153,1,0
LTCUSDT,1,2021-03-29 03:15,2021-03-29 04:45,189.03,192.8106,TP,7,1.86,0.93,1,117,0,0
DOTUSDT,1,2021-03-29 07:30,2021-03-29 09:45,33.583,34.25466,TP,10,1.86,0.93,1,222,0,0
LINKUSDT,1,2021-03-29 08:15,2021-03-29 10:00,27.345,27.8919,TP,8,1.86,0.93,1,238,0,0
BTCUSDT,1,2021-03-29 09:00,2021-03-29 09:45,57088.6,58230.372,TP,4,1.86,0.93,1,211,0,0
ETHUSDT,1,2021-03-29 09:00,2021-03-29 12:00,1746.18,1781.1036,TP,13,1.86,0.93,1,231,0,0
FILUSDT,1,2021-03-30 14:00,2021-03-30 15:00,134.298,136.98396,TP,5,1.86,0.93,1,658,0,0
ETHUSDT,1,2021-03-31 18:15,2021-03-31 19:00,1875.36,1912.8672,TP,4,1.86,0.93,1,460,0,0
LINKUSDT,1,2021-03-31 20:15,2021-03-31 21:30,28.298,28.86396,TP,6,1.86,0.93,1,478,0,0
SOLUSDT,1,2021-03-31 21:15,2021-04-01 04:00,19.5328,19.923456,TP,28,1.86,0.93,2,515,0,1
FILUSDT,-1,2021-04-04 18:15,2021-04-04 22:00,181.17,184.7934,SL,16,-2.14,-1.07,3,190,0,2
NEARUSDT,1,2021-04-08 16:30,2021-04-08 17:00,6.7164,6.582072,SL,3,-2.14,-1.07,1,237,0,0
DOGEUSDT,1,2021-04-09 01:15,2021-04-09 07:30,0.061623,0.062855,TP,26,1.86,0.93,3,239,0,2
NEARUSDT,1,2021-04-10 12:30,2021-04-10 17:15,6.5829,6.451242,SL,20,-2.14,-1.07,4,413,1,2
LINKUSDT,1,2021-04-11 10:45,2021-04-11 15:30,32.494,33.14388,TP,20,1.86,0.93,2,525,0,1
SOLUSDT,1,2021-04-11 15:30,2021-04-11 18:45,27.7417,28.296534,TP,14,1.86,0.93,1,1548,0,0
SOLUSDT,1,2021-04-13 01:30,2021-04-13 04:15,28.4537,27.884626,SL,12,-2.14,-1.07,3,1684,0,2
LTCUSDT,1,2021-04-13 07:45,2021-04-13 09:45,262.36,267.6072,TP,9,1.86,0.93,1,729,0,0
ETHUSDT,1,2021-04-13 08:30,2021-04-13 14:45,2222.88,2267.3376,TP,26,1.86,0.93,1,313,0,0
LINKUSDT,1,2021-04-13 14:30,2021-04-13 16:00,34.004,34.68408,TP,7,1.86,0.93,1,732,0,0
AVAXUSDT,1,2021-04-13 18:45,2021-04-14 02:45,33.7041,34.378182,TP,33,1.86,0.93,2,1017,0,1
SOLUSDT,-1,2021-04-17 23:45,2021-04-18 00:15,24.8423,24.345454,TP,3,1.86,0.93,1,428,0,0
BNBUSDT,-1,2021-04-18 01:00,2021-04-18 03:00,506.932,496.79336,TP,9,1.86,0.93,1,185,0,0
SOLUSDT,1,2021-04-21 04:15,2021-04-21 07:00,32.6381,31.985338,SL,12,-2.14,-1.07,4,226,0,3
BTCUSDT,-1,2021-04-21 12:15,2021-04-21 22:30,55262.11,54156.8678,TP,42,1.86,0.93,4,488,1,2
DOTUSDT,-1,2021-04-22 00:00,2021-04-22 00:45,33.382,34.04964,SL,4,-2.14,-1.07,1,366,0,0
AVAXUSDT,-1,2021-04-22 01:00,2021-04-22 02:00,26.4377,25.908946,TP,5,1.86,0.93,4,387,0,3
LTCUSDT,-1,2021-04-22 22:45,2021-04-22 23:00,253.5,258.57,SL,2,-2.14,-1.07,1,453,0,0
DOTUSDT,-1,2021-04-22 23:45,2021-04-23 01:15,32.963,32.30374,TP,7,1.86,0.93,1,461,0,0
NEARUSDT,-1,2021-04-23 01:30,2021-04-23 01:45,4.5063,4.416174,TP,2,1.86,0.93,1,882,0,0
SOLUSDT,1,2021-04-24 17:15,2021-04-24 17:30,39.4332,38.644536,SL,2,-2.14,-1.07,1,566,0,0
TRXUSDT,-1,2021-04-25 05:30,2021-04-25 07:15,0.10381,0.101734,TP,8,1.86,0.93,3,670,0,2
ADAUSDT,1,2021-04-29 00:30,2021-04-29 01:15,1.32928,1.302694,SL,4,-2.14,-1.07,3,259,0,2
BNBUSDT,1,2021-04-29 09:00,2021-04-29 10:00,580.117,591.71934,TP,5,1.86,0.93,2,297,0,1
DOTUSDT,1,2021-04-29 23:00,2021-04-30 01:15,35.394,36.10188,TP,10,1.86,0.93,1,340,0,0
FILUSDT,1,2021-04-30 02:15,2021-04-30 09:45,159.057,155.87586,SL,31,-2.14,-1.07,1,363,0,0
XRPUSDT,1,2021-04-30 04:15,2021-04-30 05:00,1.4206,1.449012,TP,4,1.86,0.93,1,352,0,0
LINKUSDT,1,2021-04-30 06:45,2021-04-30 10:30,37.584,38.33568,TP,16,1.86,0.93,1,315,0,0
ADAUSDT,1,2021-04-30 08:00,2021-05-01 09:00,1.34672,1.319786,SL,101,-2.14,-1.07,3,385,0,2
SOLUSDT,1,2021-05-01 11:45,2021-05-01 14:15,44.4247,45.313194,TP,11,1.86,0.93,1,1216,0,0
DOTUSDT,1,2021-05-03 03:00,2021-05-03 13:45,37.702,36.94796,SL,44,-2.14,-1.07,1,644,0,0
TRXUSDT,1,2021-05-03 03:45,2021-05-03 09:45,0.1298,0.132396,TP,25,1.86,0.93,4,614,0,3
AVAXUSDT,1,2021-05-03 06:45,2021-05-03 08:15,32.5585,33.20967,TP,7,1.86,0.93,4,669,0,3
XRPUSDT,1,2021-05-03 08:45,2021-05-03 13:30,1.6079,1.575742,SL,20,-2.14,-1.07,3,658,0,2
LINKUSDT,1,2021-05-03 09:00,2021-05-03 13:30,40.812,39.99576,SL,19,-2.14,-1.07,3,612,0,2
LINKUSDT,1,2021-05-04 12:15,2021-05-04 12:45,41.875,42.7125,TP,3,1.86,0.93,3,721,0,2
BNBUSDT,1,2021-05-05 11:15,2021-05-05 13:45,643.742,656.61684,TP,11,1.86,0.93,3,882,0,2
SOLUSDT,-1,2021-05-06 10:00,2021-05-06 11:45,43.8229,44.699358,SL,8,-2.14,-1.07,4,171,0,3
DOTUSDT,1,2021-05-10 01:15,2021-05-10 09:30,41.087,40.26526,SL,34,-2.14,-1.07,1,420,0,0
NEARUSDT,-1,2021-05-10 18:15,2021-05-10 19:30,4.9278,4.829244,TP,6,1.86,0.93,1,76,0,0
TRXUSDT,-1,2021-05-10 18:30,2021-05-10 19:30,0.13642,0.133692,TP,5,1.86,0.93,1,114,0,0
ADAUSDT,1,2021-05-11 17:00,2021-05-12 00:15,1.7376,1.772352,TP,30,1.86,0.93,2,568,0,1
ETHUSDT,1,2021-05-11 20:45,2021-05-12 02:15,4136.96,4219.6992,TP,23,1.86,0.93,1,1509,0,0
BNBUSDT,1,2021-05-12 00:15,2021-05-12 10:30,673.98,660.5004,SL,42,-2.14,-1.07,2,252,1,0
LTCUSDT,1,2021-05-12 00:30,2021-05-12 06:30,387.48,379.7304,SL,25,-2.14,-1.07,1,1427,0,0
XRPUSDT,-1,2021-05-12 15:15,2021-05-12 16:15,1.4135,1.38523,TP,5,1.86,0.93,1,300,0,0
BTCUSDT,-1,2021-05-12 16:00,2021-05-12 18:15,55266,54160.68,TP,10,1.86,0.93,1,169,0,0
AVAXUSDT,1,2021-05-14 12:15,2021-05-14 13:45,35.806,36.52212,TP,7,1.86,0.93,4,189,0,3
TRXUSDT,-1,2021-05-15 09:00,2021-05-15 10:15,0.12173,0.119295,TP,6,1.86,0.93,2,229,0,1
BNBUSDT,-1,2021-05-15 11:00,2021-05-15 16:45,585.05,573.349,TP,24,1.86,0.93,4,235,0,3
BNBUSDT,-1,2021-05-16 16:30,2021-05-16 18:45,569.8,558.404,TP,10,1.86,0.93,1,353,0,0
TRXUSDT,-1,2021-05-16 18:00,2021-05-16 18:30,0.12212,0.119678,TP,3,1.86,0.93,2,361,0,1
ETHUSDT,-1,2021-05-19 01:30,2021-05-19 02:30,3219.3,3154.914,TP,5,1.86,0.93,1,543,0,0
LTCUSDT,-1,2021-05-19 01:30,2021-05-19 02:45,278.44,272.8712,TP,6,1.86,0.93,1,584,0,0
