symbol,config,state,cycleLen,crossStart,confStart,xuoiEarly,winBase,pnlBase,pnlConf,pnlStrict,pnlEntryConf,holdConf
IMXUSDT,5,10,1,201,XUOI,false,true,1,3.629,3.629,3.629,3.629,201
IMXUSDT,5,10,-1,65,NGUOC,false,false,0,-4.288,-1.256,-3.379,,13
IMXUSDT,5,10,1,64,XUOI,false,true,0,-7.282,-7.282,-7.282,-7.282,64
IMXUSDT,5,10,-1,131,XUOI,false,true,0,-4.943,-1.931,-3.485,-4.943,17
IMXUSDT,5,10,1,345,XUOI,false,true,1,5.062,-0.918,-1.39,5.062,43
IMXUSDT,5,10,-1,209,NGUOC,false,true,1,0.129,-0.513,-0.513,-3.331,204
IMXUSDT,5,10,1,415,XUOI,false,true,1,5.735,-4.037,8.001,5.735,10
IMXUSDT,5,10,-1,538,XUOI,false,true,1,9.068,-2.003,7.03,9.068,23
IMXUSDT,5,10,1,236,XUOI,false,true,1,1.402,-3.639,1.402,1.402,37
IMXUSDT,5,10,-1,22,NGUOC,false,false,0,-4.921,-1.426,-1.426,,3
IMXUSDT,5,10,1,395,XUOI,false,true,1,9.212,6.26,6.547,9.212,176
IMXUSDT,5,10,-1,142,XUOI,false,true,1,2.294,4.318,3.37,2.294,84
IMXUSDT,5,10,1,37,XUOI,false,true,0,-3.694,-1.352,-3.694,-3.694,30
IMXUSDT,5,10,-1,491,XUOI,false,true,1,10.466,1.682,1.682,10.466,150
IMXUSDT,5,10,1,399,XUOI,false,true,1,28.94,9.149,28.94,28.94,119
IMXUSDT,5,10,-1,171,NGUOC,false,false,1,1.55,-2.529,-3.465,,11
IMXUSDT,5,10,1,215,NGUOC,false,false,1,5.295,-2.061,-2.793,,7
IMXUSDT,5,10,-1,95,XUOI,false,true,0,-4.885,-3.323,-5.126,-4.633,14
IMXUSDT,5,10,1,97,XUOI,false,true,0,-2.922,-0.295,-1.485,-2.922,52
IMXUSDT,5,10,-1,91,XUOI,false,true,0,-1.47,0.471,-0.688,-1.47,53
IMXUSDT,5,10,1,146,XUOI,false,true,1,0.211,3.255,-0.749,0.211,141
IMXUSDT,5,10,-1,107,XUOI,false,true,0,-1.355,4.116,3.934,-1.355,43
IMXUSDT,5,10,1,186,XUOI,false,true,0,-3.879,-4.095,-4.095,-3.879,136
IMXUSDT,5,10,-1,57,XUOI,false,true,0,-4.318,-1.578,-2.705,-4.318,10
IMXUSDT,5,10,1,143,XUOI,false,true,0,-3.916,-0.929,-2.716,-3.916,28
IMXUSDT,5,10,-1,258,XUOI,false,true,1,5.158,7.19,7.496,5.158,212
IMXUSDT,5,10,1,19,XUOI,false,true,0,-3.725,-3.791,-3.791,-3.725,7
IMXUSDT,5,10,-1,383,XUOI,false,true,1,13.254,3.502,11.404,13.254,29
IMXUSDT,5,10,1,83,XUOI,false,true,0,-3.91,-1.226,-1.226,-3.91,47
IMXUSDT,5,10,-1,116,XUOI,false,true,0,-3.71,-0.005,-0.563,-3.71,27
IMXUSDT,5,10,1,260,XUOI,false,true,0,-1.865,-0.834,-1.384,-1.865,23
IMXUSDT,5,10,-1,247,XUOI,false,true,1,4.162,-1.628,-0.816,4.162,15
IMXUSDT,5,10,1,21,XUOI,false,true,0,-4.913,-1.58,-1.58,-4.913,12
IMXUSDT,5,10,-1,25,XUOI,false,true,0,-9.015,-4.505,-4.505,-9.015,24
IMXUSDT,5,10,1,132,XUOI,false,true,0,-0.926,2.402,0.989,-0.926,123
IMXUSDT,5,10,-1,46,XUOI,false,true,0,-3.728,-1.354,-3.728,-3.728,16
IMXUSDT,5,10,1,88,XUOI,false,true,0,-3.843,-3.843,-3.843,-3.843,88
IMXUSDT,5,10,-1,152,NGUOC,false,false,0,-1.261,-1.744,-1.744,,4
IMXUSDT,5,10,1,274,XUOI,false,true,0,-2.246,-2.938,-2.938,-2.246,18
IMXUSDT,5,10,-1,52,XUOI,false,true,0,-4.064,-0.878,-1.024,-4.064,7
IMXUSDT,5,10,1,68,XUOI,false,true,0,-7.016,-1.56,-1.56,-7.016,54
IMXUSDT,5,10,-1,81,XUOI,false,true,0,-2.047,-1.554,-1.554,-2.047,76
IMXUSDT,5,10,1,526,XUOI,false,true,1,5.785,0.398,0.398,5.785,71
IMXUSDT,5,10,-1,468,XUOI,false,true,1,4.342,-4.755,-4.755,4.342,27
IMXUSDT,5,10,1,94,XUOI,false,true,0,-3.893,-0.72,-0.72,-3.893,23
IMXUSDT,5,10,-1,68,XUOI,false,true,1,0.289,4.764,4.025,0.289,41
IMXUSDT,5,10,1,163,XUOI,false,true,0,-2.682,-1.743,-1.639,-2.682,114
IMXUSDT,5,10,-1,106,XUOI,false,true,0,-3.822,-1.76,-2.135,-3.822,18
IMXUSDT,5,10,1,97,XUOI,false,true,0,-0.448,-0.512,-1.195,-0.448,14
IMXUSDT,5,10,-1,349,XUOI,false,true,1,0.901,4.256,4.256,0.901,248
IMXUSDT,5,10,1,65,XUOI,false,true,0,-4.479,-4.479,-4.479,-4.479,65
IMXUSDT,5,10,-1,113,NGUOC,false,false,0,-1.13,-0.669,1.147,,19
IMXUSDT,5,10,1,339,XUOI,false,true,0,-0.047,-1.517,-1.517,-0.047,18
IMXUSDT,5,10,-1,38,XUOI,false,true,0,-3.084,-1.706,-2.616,-3.084,14
IMXUSDT,5,10,1,19,XUOI,false,true,0,-2.719,-0.817,-3.423,-2.719,5
IMXUSDT,5,10,-1,52,XUOI,false,true,0,-2.035,-0.82,-1.327,-2.035,26
IMXUSDT,5,10,1,190,XUOI,false,true,1,1.016,-0.1,-1.125,1.016,30
IMXUSDT,5,10,-1,375,XUOI,false,true,1,4.767,1.6,1.625,4.767,153
IMXUSDT,5,10,1,82,XUOI,false,true,0,-2.003,-0.977,-0.977,-2.003,26
IMXUSDT,5,10,-1,332,XUOI,false,true,1,9.536,9.315,9.536,9.536,324
IMXUSDT,5,10,1,67,XUOI,false,true,0,-1.656,-2.004,-1.656,-1.656,21
IMXUSDT,5,10,-1,210,XUOI,false,true,1,2.82,-1.769,-1.769,2.82,6
IMXUSDT,5,10,1,166,XUOI,false,true,0,-0.783,-1.101,-0.672,-0.783,9
IMXUSDT,5,10,-1,532,XUOI,false,true,1,9.322,-0.213,4.216,9.322,45
IMXUSDT,5,10,1,69,XUOI,false,true,0,-2.866,-1.448,-1.448,-2.866,63
IMXUSDT,5,10,-1,98,XUOI,false,true,0,-0.082,-0.082,-0.082,-0.082,98
IMXUSDT,5,10,1,234,NGUOC,false,true,1,4.144,3.201,3.001,2.287,55
IMXUSDT,5,10,-1,53,NONE,false,false,0,-7.628,-1.56,-0.83,,13
IMXUSDT,5,10,1,131,XUOI,false,true,0,-3.534,-2.695,-3.534,-3.534,122
IMXUSDT,5,10,-1,395,XUOI,false,true,1,4.225,-1.852,-1.852,4.225,26
IMXUSDT,5,10,1,298,XUOI,false,true,1,10.599,9.373,9.373,10.599,217
IMXUSDT,5,10,-1,383,XUOI,false,true,1,26.241,9.863,9.604,26.241,173
IMXUSDT,5,10,1,90,XUOI,false,true,0,-5.848,-5.524,-5.848,-5.848,82
IMXUSDT,5,10,-1,340,XUOI,false,true,1,8.627,-2.406,10.781,8.627,8
IMXUSDT,5,10,1,158,XUOI,false,true,0,-2.579,-2.579,-2.579,-2.579,158
IMXUSDT,5,10,-1,177,NGUOC,false,false,1,0.237,1.657,1.031,,38
IMXUSDT,5,10,1,51,XUOI,false,true,0,-3.351,-0.702,-1.376,-3.351,6
IMXUSDT,5,10,-1,85,XUOI,false,true,0,-1.467,-1.417,-1.417,-1.467,70
IMXUSDT,5,10,1,84,XUOI,false,true,0,-2.054,-2.054,-2.054,-2.054,84
IMXUSDT,5,10,-1,95,NGUOC,false,false,1,1.155,-1.699,1.155,,8
IMXUSDT,5,10,1,76,NGUOC,false,false,0,-2.171,-1.173,-0.699,,2
IMXUSDT,5,10,-1,29,XUOI,false,true,0,-7.114,-1.385,-2.798,-7.114,17
IMXUSDT,5,10,1,193,XUOI,false,true,1,6.34,8.333,7.045,6.34,154
IMXUSDT,5,10,-1,141,XUOI,false,true,1,0.545,4.276,3.216,0.545,84
IMXUSDT,5,10,1,86,XUOI,false,true,0,-2.016,0.847,0.847,-2.016,54
IMXUSDT,5,10,-1,63,XUOI,false,true,0,-3.682,-1.973,-3.682,-3.682,47
IMXUSDT,5,10,1,46,XUOI,false,true,0,-4.913,-0.872,-0.872,-4.913,35
IMXUSDT,5,10,-1,111,XUOI,false,true,0,-4.014,-0.412,-0.412,-4.014,59
IMXUSDT,5,10,1,607,XUOI,false,true,1,13.863,1.121,0.223,13.863,30
IMXUSDT,5,10,-1,324,XUOI,false,true,1,9.613,0.386,0.284,9.613,77
IMXUSDT,5,10,1,76,XUOI,false,true,0,-1.423,-2.074,-2.074,-1.423,60
IMXUSDT,5,10,-1,196,XUOI,false,true,0,-0.532,-0.1,-0.055,-0.532,31
IMXUSDT,5,10,1,16,XUOI,false,true,0,-3.093,-0.55,-1.766,-3.093,6
IMXUSDT,5,10,-1,156,XUOI,false,true,0,-1.655,2.221,2.221,-1.655,88
IMXUSDT,5,10,1,272,XUOI,false,true,1,1.589,4.032,1.863,1.589,188
IMXUSDT,5,10,-1,167,XUOI,false,true,1,5.509,-3.614,5.509,5.509,8
IMXUSDT,5,10,1,104,NGUOC,false,false,0,-1.912,-0.052,-0.982,,12
IMXUSDT,5,10,-1,18,XUOI,false,true,0,-3.981,-2.224,-3.2,-3.981,13
IMXUSDT,5,10,1,233,XUOI,false,true,1,3.533,0.041,3.533,3.533,52
IMXUSDT,5,10,-1,119,XUOI,false,true,1,0.828,1.078,1.145,0.828,48
IMXUSDT,5,10,1,76,XUOI,false,true,0,-1.518,-0.786,-0.786,-1.518,52
IMXUSDT,5,10,-1,246,XUOI,false,true,1,1.448,0.177,0.663,1.448,13
IMXUSDT,5,10,1,70,XUOI,false,true,0,-1.575,-1.037,-1.575,-1.575,47
IMXUSDT,5,10,-1,244,XUOI,false,true,1,6.03,7.313,7.099,6.03,222
IMXUSDT,5,10,1,15,XUOI,false,true,0,-3.465,-1.972,-2.554,-3.465,13
IMXUSDT,5,10,-1,162,XUOI,false,true,0,-0.882,-1.169,-0.882,-0.882,9
IMXUSDT,5,10,1,46,XUOI,false,true,0,-1.96,-0.281,-1.96,-1.96,31
IMXUSDT,5,10,-1,81,XUOI,false,true,0,-1.574,-1.574,-1.574,-1.574,81
IMXUSDT,5,10,1,169,NGUOC,false,false,1,1.484,-0.464,-0.464,,8
IMXUSDT,5,10,-1,42,XUOI,false,true,0,-2.888,-2.453,-2.453,-2.888,41
IMXUSDT,5,10,1,205,XUOI,false,true,1,0.943,1.888,0.943,0.943,180
IMXUSDT,5,10,-1,49,XUOI,false,true,0,-2.216,-0.026,-0.026,-2.216,10
IMXUSDT,5,10,1,467,XUOI,false,true,1,14.399,0.862,1.271,14.399,73
IMXUSDT,5,10,-1,43,XUOI,false,true,0,-5.606,-1.455,-4.484,-5.606,18
IMXUSDT,5,10,1,611,XUOI,false,true,1,18.978,9.043,7.994,18.978,249
IMXUSDT,5,10,-1,166,XUOI,false,true,1,1.512,-1.275,-2.551,1.512,14
IMXUSDT,5,10,1,194,NGUOC,false,false,1,5.96,-0.728,-1.662,,7
IMXUSDT,5,10,-1,41,NGUOC,false,false,0,-4.472,-0.933,-4.456,,5
IMXUSDT,5,10,1,209,XUOI,false,true,1,4.441,7.52,6.346,4.441,175
IMXUSDT,5,10,-1,51,XUOI,false,true,0,-0.726,0.075,0.075,-0.726,50
IMXUSDT,5,10,1,113,XUOI,false,true,0,-2.047,-0.143,-1.131,-2.047,43
IMXUSDT,5,10,-1,168,XUOI,false,true,0,-1.1,0.811,-0.276,-1.1,38
IMXUSDT,5,10,1,30,XUOI,false,true,0,-3.943,-2.131,-3.943,-3.943,10
IMXUSDT,5,10,-1,104,XUOI,false,true,0,-2.332,-3.907,-2.332,-2.332,17
IMXUSDT,5,10,1,121,NONE,false,true,0,-4.724,-0.786,-0.861,-5.022,9
IMXUSDT,5,10,-1,25,XUOI,false,true,0,-7.771,-8.887,-8.887,-7.771,21
IMXUSDT,5,10,1,151,XUOI,false,true,1,2.04,2.04,2.04,2.04,151
IMXUSDT,5,10,-1,14,NGUOC,false,false,0,-11.338,-2.376,-2.376,,10
IMXUSDT,5,10,1,301,XUOI,false,true,1,17.241,6.029,5.761,17.241,41
IMXUSDT,5,10,-1,211,XUOI,false,true,0,-1.719,2.269,2.269,-1.719,133
IMXUSDT,5,10,1,148,XUOI,false,true,1,11.358,11.358,11.358,11.358,148
IMXUSDT,5,10,-1,82,NGUOC,false,false,0,-6.084,1.924,1.401,,25
IMXUSDT,5,10,1,26,XUOI,false,true,0,-15.686,-15.686,-15.686,-15.686,26
IMXUSDT,5,10,-1,59,NGUOC,false,true,0,-9.468,3.613,-0.697,-13.685,8
IMXUSDT,5,10,1,240,XUOI,false,true,1,1.051,-5.847,2.818,1.051,70
IMXUSDT,5,10,-1,160,XUOI,false,true,0,-0.59,5.667,5.667,-0.59,140
IMXUSDT,5,10,1,223,XUOI,false,true,1,6.501,4.851,6.501,6.501,46
IMXUSDT,5,10,-1,579,XUOI,false,true,1,8.354,-4.53,-2.699,8.354,15
IMXUSDT,5,10,1,121,XUOI,false,true,0,-0.523,-0.523,-0.523,-0.523,121
IMXUSDT,5,10,-1,182,XUOI,false,true,1,2.674,-1.764,2.931,2.674,6
IMXUSDT,5,10,1,125,XUOI,false,true,0,-3.693,-1.973,-3.774,-3.693,15
IMXUSDT,5,10,-1,57,XUOI,false,true,0,-4.607,-3.462,-3.462,-4.607,13
IMXUSDT,5,10,1,169,XUOI,false,true,1,6.1,6.1,6.1,6.1,169
IMXUSDT,5,10,-1,146,NGUOC,false,true,1,6.644,0.441,-0.593,6.137,4
IMXUSDT,5,10,1,102,NGUOC,false,true,0,-2.702,-0.537,0.913,-6.064,2
IMXUSDT,5,10,-1,69,NONE,false,true,0,-6.1,-1.009,-0.595,-6.811,25
IMXUSDT,5,10,1,139,XUOI,false,true,0,-2.456,-2.456,-2.456,-2.456,139
IMXUSDT,5,10,-1,50,NGUOC,false,false,0,-8.305,-1.99,-4.349,,4
IMXUSDT,5,10,1,40,XUOI,false,true,0,-4.881,-4.753,-4.753,-4.881,38
IMXUSDT,5,10,-1,56,XUOI,false,true,0,-8.502,-2.416,-2.416,-8.502,3
IMXUSDT,5,10,1,53,XUOI,false,true,0,-7.791,-2.285,-6.469,-7.791,26
IMXUSDT,5,10,-1,400,XUOI,false,true,1,19.176,20.074,18.794,19.176,189
IMXUSDT,5,10,1,280,XUOI,false,true,1,24.243,9.834,9.834,24.243,57
IMXUSDT,5,10,-1,135,XUOI,false,true,0,-24.421,-14.556,-17.934,-24.421,19
IMXUSDT,5,10,1,317,XUOI,false,true,1,12.752,14.97,13.782,12.752,119
IMXUSDT,5,10,-1,220,XUOI,false,true,1,9.872,-2.065,-2.065,9.684,27
IMXUSDT,5,10,1,33,XUOI,false,true,0,-10.315,-7.824,-10.315,-10.315,13
IMXUSDT,5,10,-1,300,XUOI,false,true,1,6.045,-5.521,-5.521,6.045,57
IMXUSDT,5,10,1,103,NGUOC,false,false,0,-0.766,-0.405,-1.266,,15
IMXUSDT,5,10,-1,127,XUOI,false,true,1,1.327,1.327,1.327,1.327,127
IMXUSDT,5,10,1,175,NGUOC,false,false,1,3.728,-0.848,5.603,,6
IMXUSDT,5,10,-1,153,XUOI,false,true,0,-3.897,-1.643,-2.391,-3.897,9
IMXUSDT,5,10,1,62,XUOI,false,true,0,-3.199,-1.87,-2.363,-3.199,50
IMXUSDT,5,10,-1,173,XUOI,false,true,1,3.584,5.096,5.096,3.584,165
IMXUSDT,5,10,1,75,XUOI,false,true,0,-4.166,-3.166,-3.166,-4.166,20
IMXUSDT,5,10,-1,50,XUOI,false,true,0,-3.734,-1.946,-2.393,-3.734,22
IMXUSDT,5,10,1,148,XUOI,false,true,1,0.943,0.943,0.943,0.943,148
IMXUSDT,5,10,-1,344,NGUOC,false,false,1,3.763,1.33,3.595,,7
IMXUSDT,5,10,1,215,NONE,false,true,1,0.412,-0.448,-1.229,0.257,19
IMXUSDT,5,10,-1,42,XUOI,false,true,0,-5.888,-2.325,-4.261,-5.888,14
IMXUSDT,5,10,1,390,XUOI,false,true,1,7.251,3.009,3.63,7.251,69
IMXUSDT,5,10,-1,29,XUOI,false,true,0,-4.058,-1.004,-3.239,-4.058,6
IMXUSDT,5,10,1,34,XUOI,false,true,0,-3.586,-4.046,-4.046,-3.586,13
IMXUSDT,5,10,-1,110,NONE,false,true,1,2.448,3.434,2.057,2.158,67
IMXUSDT,5,10,1,90,XUOI,false,true,0,-2.561,-2.604,-2.561,-2.561,35
IMXUSDT,5,10,-1,316,XUOI,false,true,1,9.684,1.357,9.684,9.684,56
IMXUSDT,5,10,1,100,NONE,false,true,0,-0.142,2.145,0.886,-0.622,78
IMXUSDT,5,10,-1,83,XUOI,false,true,0,-2.998,-2.998,-2.998,-2.998,83
IMXUSDT,5,10,1,77,NGUOC,false,false,0,-3.411,1.096,-0.543,,4
IMXUSDT,5,10,-1,55,XUOI,false,true,0,-3.668,-1.847,-1.847,-3.668,50
IMXUSDT,5,10,1,88,XUOI,false,true,0,-3.665,-2.005,-1.923,-3.665,23
IMXUSDT,5,10,-1,64,XUOI,false,true,0,-9.041,-7.14,-7.864,-9.041,38
IMXUSDT,5,10,1,116,XUOI,false,true,1,0.908,0.908,0.908,0.908,116
IMXUSDT,5,10,-1,503,NGUOC,false,false,1,8.32,-0.441,0.056,,19
IMXUSDT,5,10,1,74,XUOI,false,true,0,-3.853,-2.768,-3.693,-3.853,38
IMXUSDT,5,10,-1,562,NONE,false,true,1,12.014,-0.244,-0.787,11.672,31
IMXUSDT,5,10,1,56,XUOI,false,true,0,-5.82,-5.457,-5.457,-5.82,16
IMXUSDT,5,10,-1,169,XUOI,false,true,1,0.391,0.272,2.516,0.391,29
IMXUSDT,5,10,1,309,XUOI,false,true,1,0.607,0.58,-1.327,0.607,177
IMXUSDT,5,10,-1,98,XUOI,false,true,0,-0.947,1.528,1.528,-0.947,89
IMXUSDT,5,10,1,51,XUOI,false,true,0,-5.097,-4.851,-4.812,-5.097,33
IMXUSDT,5,10,-1,12,XUOI,false,true,0,-5.237,-1.731,-1.731,-5.237,6
IMXUSDT,5,10,1,91,XUOI,false,true,0,-3.094,1.203,0.184,-3.094,43
IMXUSDT,5,10,-1,416,XUOI,false,true,1,2.401,-1.563,-1.35,2.401,44
IMXUSDT,5,10,1,130,XUOI,false,true,1,0.714,3.876,3.876,0.714,102
IMXUSDT,5,10,-1,127,XUOI,false,true,1,0.72,2.751,2.751,0.72,103
IMXUSDT,5,10,1,49,XUOI,false,true,0,-2.787,-2.787,-2.787,-2.787,49
IMXUSDT,5,10,-1,64,NGUOC,false,false,0,-2.715,-0.723,-1.594,,2
IMXUSDT,5,10,1,83,XUOI,false,false,0,-2.03,-1.787,-1.787,,62
IMXUSDT,5,10,-1,44,XUOI,false,true,0,-2.607,-0.527,-0.527,-2.607,8
IMXUSDT,5,10,1,286,XUOI,false,true,1,1.348,2.045,1.844,1.348,89
IMXUSDT,5,10,-1,108,XUOI,false,true,1,1.123,3.317,2.785,1.123,69
IMXUSDT,5,10,1,241,XUOI,false,true,1,5.3,5.3,5.3,5.3,241
