symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,-1,1.9,1,TP,9,1,45,0,0,-3.01,3.61,0.51,0.51,1.02,0.68,29,0,1.49,0,-1,1,0.93
IMXUSDT,1,-2.1,0,SL,23,1,371,0,0,-0.59,7.04,0.62,0.62,0.5,0.26,246,0,0.95,0,1,9,0.26
IMXUSDT,1,1.9,1,TP,3,1,522,0,0,-2.82,3.59,0.75,0.75,0.55,0.21,93,0,1.1,0,1,23,0.59
IMXUSDT,-1,-2.1,0,SL,9,4,343,0,3,-1.03,-1.08,0.91,1.63,0.77,0.79,54,0,1.21,-0.04,-1,23,0.9
IMXUSDT,-1,1.9,1,TP,26,1,158,0,0,-1.87,2.71,0.8,0.8,0.43,0.34,41,0,1.41,0,-1,7,0.3
IMXUSDT,-1,1.9,1,TP,3,1,329,0,0,-1.11,3.66,0.82,0.82,0.73,0.35,212,0,1.92,0,-1,2,0.57
IMXUSDT,1,1.9,1,TP,10,1,203,0,0,-2.1,3.87,0.67,0.67,0.61,0.23,29,0,0.15,0,1,5,0.59
IMXUSDT,-1,1.9,1,TP,10,1,393,0,0,-0.56,5.98,0.43,0.43,0.58,0.63,31,0,1.78,0,-1,18,0.25
IMXUSDT,-1,1.9,1,TP,31,1,1013,0,0,-1.6,0.38,0.72,0.72,0.37,0.62,63,1,1.18,0,-1,5,0.28
IMXUSDT,-1,-2.1,0,SL,59,1,1382,0,0,-4.01,8.21,9.36,9.36,0.77,0.59,216,0,1.6,0,-1,1,2.08
IMXUSDT,-1,1.9,1,TP,46,1,1672,0,0,-2.1,6.2,1.86,1.86,0.38,0.15,72,0,0.41,0,-1,2,0.38
IMXUSDT,1,1.9,1,TP,3,1,147,0,0,-2.88,6.46,2.13,2.13,0.61,0.15,229,0,0.48,0,1,19,1.09
IMXUSDT,1,1.9,1,TP,5,1,114,0,0,-1.67,4.01,0.2,0.2,0.57,0.34,11,0,1.61,0,1,3,0.34
IMXUSDT,1,1.9,1,TP,5,1,428,0,0,-2.14,2.04,1.38,1.38,0.57,0.33,130,0,1.16,0,1,7,0.67
IMXUSDT,1,1.9,1,TP,5,1,533,0,0,-1.11,2.21,0.6,0.6,0.43,0.32,157,0,1.04,0,1,15,0.42
