symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
DOTUSDT,1,2021-05-03 03:00,2021-05-03 13:45,37.702,36.94796,SL,44,-2.14,-1.07,0.9,1.37,1.8,2.75,1,644,130,0,0,2.75,-2.74,2.44,2.44,0.65,95,1,3
XRPUSDT,1,2021-05-03 08:45,2021-05-03 13:30,1.6079,1.575742,SL,20,-2.14,-1.07,0.07,1.54,0.14,3.08,3,658,49,0,2,1.69,-0.09,1.05,0.62,0.6,15,1,8
LINKUSDT,1,2021-05-03 09:00,2021-05-03 13:30,40.812,39.99576,SL,19,-2.14,-1.07,0.08,1.15,0.16,2.31,3,612,737,0,2,30.26,-0.64,1.26,2.23,0.72,719,1,9
SOLUSDT,-1,2021-05-06 10:00,2021-05-06 11:45,43.8229,44.699358,SL,8,-2.14,-1.07,0.17,1.18,0.33,2.37,4,171,245,0,3,2.71,0,0.84,1,0.66,36,-1,10
DOTUSDT,1,2021-05-10 01:15,2021-05-10 09:30,41.087,40.26526,SL,34,-2.14,-1.07,0.98,1.23,1.97,2.47,1,420,43,0,0,0.78,-1.92,2.19,2.19,0.92,204,1,1
BNBUSDT,1,2021-05-12 00:15,2021-05-12 10:30,673.98,660.5004,SL,42,-2.14,-1.07,0.82,1.04,1.64,2.07,2,252,54,1,0,0.85,-1.74,0.81,0.81,0.69,16,1,0
LTCUSDT,1,2021-05-12 00:30,2021-05-12 06:30,387.48,379.7304,SL,25,-2.14,-1.07,0.94,1.1,1.89,2.21,1,1427,67,0,0,23.26,-2.74,1.86,1.86,1.1,734,1,0
ADAUSDT,-1,2021-05-21 14:30,2021-05-21 14:45,1.601,1.63302,SL,2,-2.14,-1.07,1.34,1.04,2.67,2.07,1,362,342,0,0,0.09,-1.75,4.63,4.63,2.84,1259,-1,14
LTCUSDT,-1,2021-05-21 14:30,2021-05-21 14:45,185.94,189.6588,SL,2,-2.14,-1.07,0.71,1.09,1.41,2.18,1,828,315,0,0,3.07,-2.98,6.63,6.63,2.81,1,-1,14
ETHUSDT,-1,2021-05-21 14:45,2021-05-21 15:00,2518.7,2569.074,SL,2,-2.14,-1.07,0.84,1.19,1.67,2.39,1,788,294,0,0,12.33,-1.91,2.45,2.45,2.77,331,-1,14
SOLUSDT,-1,2021-05-31 04:00,2021-05-31 05:15,27.805,28.3611,SL,6,-2.14,-1.07,0.28,1.17,0.56,2.34,3,263,18,0,2,1.71,-0.84,0.89,0.9,1.22,161,-1,4
LTCUSDT,-1,2021-06-09 04:45,2021-06-09 06:15,155.7,158.814,SL,7,-2.14,-1.07,0.2,1.37,0.4,2.74,2,472,66,0,1,2.68,0,0.81,0.64,1.13,18,-1,4
