symbol,S,time,pnl,exitType,fastCycleLen,entryVsZone,pullDepth
XRPUSDT,-1,1768707000,1.9,TP,3,3.01,0.2
XRPUSDT,-1,1769305500,1.9,TP,1,5.65,-2.33
XRPUSDT,-1,1769522400,-2.1,SL,3,-0.91,0.38
XRPUSDT,-1,1771439400,1.9,TP,1,1.24,-2.17
XRPUSDT,1,1773361800,1.9,TP,1,3.75,-3.63
XRPUSDT,1,1773533700,1.9,TP,1,6.93,-2.55
XRPUSDT,-1,1774750500,1.9,TP,3,0.71,-0.22
XRPUSDT,1,1776265200,1.9,TP,1,3.74,-3.37
XRPUSDT,-1,1777272300,1.9,TP,1,2.48,-2.15
XRPUSDT,1,1778518800,-1.53,TIMEOUT,4,9.47,0.14
XRPUSDT,1,1779717600,-1.395,TIMEOUT,3,4.11,-0.6
XRPUSDT,1,1779801300,-1.582,TIMEOUT,2,0.58,0.06
XRPUSDT,1,1781473500,1.9,TP,1,5.11,-4.59
XRPUSDT,-1,1782807300,1.9,TP,1,1.59,-1.08
XRPUSDT,1,1784740500,-2.1,SL,4,0.79,0.15
BNBUSDT,1,1607958900,1.9,TP,1,3.88,-2.58
BNBUSDT,1,1608129900,1.9,TP,1,6.77,-3.1
BNBUSDT,1,1609892100,1.9,TP,4,9.66,-0.05
BNBUSDT,1,1610901000,-2.1,SL,1,6.49,-4.47
BNBUSDT,1,1611534600,-2.1,SL,1,3.59,-4.12
BNBUSDT,1,1612008000,1.9,TP,1,11.63,-3.69
BNBUSDT,1,1612157400,1.9,TP,1,14.71,-2.92
BNBUSDT,1,1613309400,-2.1,SL,3,34.45,-0.09
BNBUSDT,1,1613556900,1.9,TP,1,1.18,-2.27
BNBUSDT,-1,1616618700,1.9,TP,3,2.34,-0.36
BNBUSDT,-1,1618707600,1.9,TP,1,3.63,-1.99
BNBUSDT,1,1619686800,1.9,TP,2,21.95,-1.56
BNBUSDT,1,1620213300,1.9,TP,3,4.21,0.04
BNBUSDT,1,1620778500,-2.1,SL,2,0.85,-1.74
BNBUSDT,-1,1621076400,1.9,TP,4,1.66,-0.21
BNBUSDT,-1,1621182600,1.9,TP,1,4.73,-2.48
BNBUSDT,-1,1621608300,1.9,TP,1,6.79,-2.53
BNBUSDT,1,1621997100,1.9,TP,1,20.49,-1.37
BNBUSDT,1,1625544900,1.9,TP,1,3.48,-3.35
BNBUSDT,1,1627082100,1.9,TP,1,0.49,-3.01
BNBUSDT,1,1627259400,1.9,TP,1,4.34,-3.52
BNBUSDT,1,1629064800,1.9,TP,1,7.93,-1.82
BNBUSDT,1,1629687600,1.9,TP,1,11.77,-2.7
BNBUSDT,1,1629903600,1.9,TP,1,13.29,-2.45
BNBUSDT,1,1630101600,-2.1,SL,3,23.19,-0.03
BNBUSDT,-1,1631501100,1.9,TP,1,19.28,-2.29
BNBUSDT,-1,1632098700,1.9,TP,1,8.62,-1.89
BNBUSDT,1,1635732000,-2.1,SL,4,11.38,-0.1
BNBUSDT,1,1636081200,1.9,TP,1,3.83,-3.38
BNBUSDT,1,1640281500,1.9,TP,1,3.67,-4.6
BNBUSDT,1,1640549700,1.9,TP,4,1.63,-0.46
BNBUSDT,1,1644204600,1.9,TP,1,10.28,-3
BNBUSDT,-1,1644474600,-1.766,TIMEOUT,3,3.49,0.45
BNBUSDT,-1,1644541200,1.9,TP,4,2.91,-0.49
BNBUSDT,1,1646062200,1.9,TP,1,4.89,-3.35
BNBUSDT,1,1649122200,1.9,TP,1,1.98,-1.55
BNBUSDT,-1,1649634300,1.9,TP,1,2.8,-2.91
BNBUSDT,-1,1651518000,-1.03,TIMEOUT,2,1.3,0.01
BNBUSDT,1,1652771700,-2.1,SL,2,1.06,0
BNBUSDT,1,1652967900,1.9,TP,4,2.55,-0.56
BNBUSDT,-1,1653795000,-2.1,SL,1,6.97,-2.16
BNBUSDT,-1,1654251300,1.9,TP,1,3.27,-2.21
BNBUSDT,-1,1654428600,-1.653,TIMEOUT,4,9.87,-0.13
BNBUSDT,1,1656224100,1.9,TP,3,11.77,-0.43
BNBUSDT,1,1656414000,-2.1,SL,2,3.74,-0.94
BNBUSDT,-1,1658714400,1.9,TP,1,7.06,-2.32
BNBUSDT,1,1659876300,1.9,TP,1,2.34,-3.04
BNBUSDT,1,1660138200,-2.1,SL,1,0.97,-3.49
BNBUSDT,-1,1660738500,1.9,TP,1,3.89,-2.99
BNBUSDT,-1,1663519500,1.9,TP,1,2.06,-0.89
BNBUSDT,1,1663981200,1.9,TP,1,5.28,-1.54
BNBUSDT,1,1664242200,1.9,TP,1,8.74,-3.74
BNBUSDT,1,1666707300,1.9,TP,1,5.61,-5.08
BNBUSDT,1,1666963800,1.9,TP,1,3.26,-4.66
BNBUSDT,-1,1667968200,1.9,TP,3,1.27,-0.99
BNBUSDT,-1,1668865500,-1.097,TIMEOUT,2,10.65,-0.31
BNBUSDT,-1,1669901400,1.9,TP,1,0.78,-1.28
BNBUSDT,1,1671524100,1.9,TP,2,3.91,0.37
BNBUSDT,1,1672799400,1.9,TP,1,4.64,-5.21
BNBUSDT,1,1673389800,1.9,TP,2,19.74,0.43
BNBUSDT,-1,1674197100,-1.919,TIMEOUT,1,0.85,-3.13
BNBUSDT,-1,1674790200,-1.958,TIMEOUT,2,2.04,0.15
BNBUSDT,1,1675769400,-2.1,SL,2,3.32,-0.57
BNBUSDT,1,1676894400,-1.518,TIMEOUT,2,0.42,0.12
BNBUSDT,-1,1678198500,-1.138,TIMEOUT,2,5.64,-0.11
BNBUSDT,-1,1678265100,-2.1,SL,4,-0.58,-0.4
BNBUSDT,-1,1678387500,1.9,TP,1,2.14,-3.7
BNBUSDT,-1,1678554900,-2.1,SL,4,11.7,-0.25
BNBUSDT,-1,1680545700,1.9,TP,2,2.55,-0.06
BNBUSDT,-1,1682641800,1.9,TP,1,2.43,-3.93
BNBUSDT,-1,1683243000,-1.105,TIMEOUT,4,0.63,-0.64
BNBUSDT,-1,1683509400,1.9,TP,1,4.79,-4.43
BNBUSDT,-1,1687617000,1.9,TP,1,3.56,-1.72
BNBUSDT,1,1688355000,1.9,TP,3,3.1,-1.09
BNBUSDT,-1,1689493500,1.9,TP,3,2.74,-0.43
BNBUSDT,1,1690875900,-0.528,TIMEOUT,1,3.09,-2.76
BNBUSDT,-1,1691973900,1.9,TP,2,1,-0.31
BNBUSDT,-1,1694093400,-1.327,TIMEOUT,3,1.41,-0.43
BNBUSDT,1,1695908700,-0.264,TIMEOUT,2,1.81,-1.26
BNBUSDT,1,1696199400,-1.191,TIMEOUT,1,3.24,-5.11
BNBUSDT,-1,1696698000,-0.039,TIMEOUT,1,4.36,-1.95
BNBUSDT,-1,1696844700,1.9,TP,1,4.06,-4.28
BNBUSDT,1,1699076700,1.9,TP,1,5.39,-1.11
BNBUSDT,1,1707302700,1.9,TP,4,2.83,-0.09
BNBUSDT,1,1707627600,-0.84,TIMEOUT,3,6.93,0.14
BNBUSDT,1,1707894000,1.9,TP,1,3.35,-3.59
BNBUSDT,1,1708781400,1.9,TP,2,4.04,0.38
BNBUSDT,1,1712744100,-2.1,SL,4,2.22,-0.09
BNBUSDT,1,1712888100,1.9,TP,1,15.57,-2.94
BNBUSDT,-1,1714472100,1.9,TP,1,6.27,-2.79
BNBUSDT,1,1715222700,-2.1,SL,1,4.32,-2.84
BNBUSDT,1,1715594400,-1.384,TIMEOUT,3,3.89,-0.72
BNBUSDT,1,1717374600,1.9,TP,3,1.25,0.03
BNBUSDT,-1,1719424800,-1.975,TIMEOUT,4,3.11,-0.7
BNBUSDT,1,1720931400,1.9,TP,1,11.18,-1.51
BNBUSDT,-1,1722464100,1.9,TP,1,2.82,-1.74
BNBUSDT,-1,1722612600,1.9,TP,1,6.13,-1.92
