symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
BTCUSDT,1,2021-02-08 12:30,2021-02-08 12:45,40560.8,41372.016,TP,2,1.86,0.93,4.09,0.02,8.18,0.05,1,577,1348,0,0,8.53,-3.91,4.81,4.81,0.75,243,1,12
LTCUSDT,1,2021-02-08 13:00,2021-02-08 13:15,158.78,161.9556,TP,2,1.86,0.93,1.26,0.32,2.52,0.64,1,590,1310,0,0,2.41,-3.08,4.38,4.38,1.03,299,1,13
LTCUSDT,1,2021-02-11 11:45,2021-02-11 13:00,186.1,189.822,TP,6,1.86,0.93,1.58,0,3.15,0,2,873,1023,0,1,1.76,-0.09,0.86,1.51,1.05,31,1,11
BTCUSDT,1,2021-02-11 12:30,2021-02-11 13:00,46494.67,47424.5634,TP,3,1.86,0.93,1.08,0.18,2.16,0.35,1,865,1059,0,0,4.46,-1.98,0.6,0.6,0.74,35,1,12
TRXUSDT,1,2021-02-11 16:00,2021-02-11 16:45,0.04857,0.049541,TP,4,1.86,0.93,2.07,0.28,4.14,0.56,4,1293,328,0,3,4.23,-1.11,1.63,1.64,1.25,46,1,16
BNBUSDT,1,2021-02-14 13:30,2021-02-14 14:45,135.653,132.93994,SL,6,-2.14,-1.07,0.42,2.6,0.85,5.2,3,1556,823,0,2,34.45,-0.09,0.81,2.27,1.34,748,1,13
TRXUSDT,-1,2021-02-16 22:00,2021-02-16 23:00,0.05062,0.051632,SL,5,-2.14,-1.07,0.25,1.15,0.49,2.29,3,172,183,0,2,11.2,-0.12,0.88,0.37,1.25,263,-1,22
BNBUSDT,1,2021-02-17 10:15,2021-02-17 10:45,134.35,137.037,TP,3,1.86,0.93,1.22,0.04,2.44,0.08,1,1831,551,0,0,1.18,-2.27,1.12,1.12,0.89,224,1,10
SOLUSDT,1,2021-02-19 07:15,2021-02-19 09:45,9.4372,9.625944,TP,11,1.86,0.93,1.25,0.26,2.49,0.51,1,65,631,0,0,5.86,-3.8,1.74,1.74,1.31,4,1,7
DOTUSDT,1,2021-02-19 08:45,2021-02-19 11:15,32.882,33.53964,TP,11,1.86,0.93,1.52,0.87,3.05,1.74,1,286,356,0,0,3.22,-4,3.14,3.14,1.12,95,1,8
SOLUSDT,1,2021-02-22 17:45,2021-02-22 18:00,11.7115,11.47727,SL,2,-2.14,-1.07,0.48,1.47,0.96,2.93,1,395,310,0,0,9.09,-2.94,2.08,2.08,2.82,334,1,17
ETHUSDT,-1,2021-02-25 20:00,2021-02-25 21:45,1564.27,1532.9846,TP,8,1.86,0.93,1.28,0.77,2.56,1.53,1,330,348,0,0,1.21,-2.01,1.21,1.21,1.05,240,-1,20
BTCUSDT,-1,2021-02-25 21:30,2021-02-25 22:00,48680.93,47707.3114,TP,3,1.86,0.93,1.21,0,2.43,0,1,318,353,0,0,1.72,-1.48,0.75,0.75,1.11,246,-1,21
LINKUSDT,-1,2021-02-25 22:00,2021-02-25 23:00,26.016,25.49568,TP,5,1.86,0.93,1.18,0.84,2.37,1.68,1,340,350,0,0,2.29,-2.25,2.37,2.37,1.6,248,-1,22
AVAXUSDT,-1,2021-02-25 23:00,2021-02-25 23:15,27.3963,27.944226,SL,2,-2.14,-1.07,0.15,1.03,0.3,2.06,1,451,390,0,0,15.68,-1.76,0.86,0.86,2.08,394,-1,23
ADAUSDT,1,2021-02-26 16:00,2021-02-26 16:15,1.19374,1.217615,TP,2,1.86,0.93,2.39,0.25,4.79,0.5,1,92,548,0,0,11.91,-2.67,3.39,3.39,2.16,841,1,16
TRXUSDT,-1,2021-02-28 02:45,2021-02-28 03:45,0.045,0.0441,TP,5,1.86,0.93,1.21,0.48,2.42,0.96,1,533,228,0,0,1.38,-2.58,1.08,1.08,1.02,68,-1,2
DOTUSDT,-1,2021-02-28 03:00,2021-02-28 03:30,31.841,31.20418,TP,3,1.86,0.93,2.12,0.48,4.25,0.96,1,474,144,0,0,4.62,-2.06,1.18,1.18,1.75,460,-1,3
XRPUSDT,-1,2021-02-28 03:15,2021-02-28 03:30,0.4261,0.417578,TP,2,1.86,0.93,1.07,0.11,2.14,0.21,1,444,185,0,0,20.23,-1.69,0.57,0.57,1.03,461,-1,3
LTCUSDT,1,2021-03-03 01:45,2021-03-03 04:00,183.02,186.6804,TP,10,1.86,0.93,1.2,0.45,2.39,0.89,1,78,188,0,0,1.63,-2.69,0.62,0.62,0.92,540,1,1
ETHUSDT,1,2021-03-03 06:45,2021-03-03 08:15,1563.39,1594.6578,TP,7,1.86,0.93,1.04,0.14,2.07,0.27,1,167,184,0,0,8.57,-2.38,1.12,1.12,0.67,478,1,6
BTCUSDT,1,2021-03-03 08:15,2021-03-03 10:00,50675.53,51689.0406,TP,8,1.86,0.93,1.04,0.12,2.08,0.23,1,167,161,0,0,9.04,-3.77,4.06,4.06,0.63,391,1,8
SOLUSDT,1,2021-03-08 19:00,2021-03-09 00:30,13.7314,13.456772,SL,23,-2.14,-1.07,0.16,1.13,0.31,2.27,4,167,227,0,3,12.34,-0.8,0.89,1.19,0.73,251,1,19
ADAUSDT,-1,2021-03-08 19:15,2021-03-09 02:45,1.11765,1.140003,SL,31,-2.14,-1.07,0.58,1.22,1.16,2.44,3,423,41,0,2,13.28,-0.47,0.59,0.57,0.47,416,-1,19
